event_id_cnty,event_date,event_type,sub_event_type,country,admin1,admin2,latitude,longitude,fatalities
CHI8196,2022-01-03,Strategic developments,Looting/property destruction,Chile,Metropolitana,Santiago,-33.4546,-70.6823,0
CHI8207,2022-01-07,Protests,Peaceful protest,Chile,Metropolitana,Santiago,-33.4311,-70.6045,0
CHI8200,2022-01-04,Protests,Peaceful protest,Chile,Araucania,Cautin,-38.7645,-72.7556,0
CHI8204,2022-01-07,Protests,Peaceful protest,Chile,Arica y Parinacota,Arica,-18.4746,-70.2979,0
CHI8202,2022-01-04,Protests,Peaceful protest,Chile,Metropolitana,Santiago,-33.4569,-70.6483,0
CHI8201,2022-01-04,Protests,Peaceful protest,Chile,Arica y Parinacota,Arica,-18.4746,-70.2979,0
CHI8197,2022-01-03,Strategic developments,Looting/property destruction,Chile,Metropolitana,Santiago,-33.4939,-70.6762,0
CHI8220,2022-01-15,Protests,Peaceful protest,Chile,Tarapaca,Iquique,-20.2133,-70.1503,0
CHI8231,2022-01-21,Protests,Peaceful protest,Chile,Coquimbo,Elqui,-29.9045,-71.2489,0
CHI8237,2022-01-25,Protests,Peaceful protest,Chile,Coquimbo,Elqui,-29.9045,-71.2489,0
CHI8239,2022-01-25,Protests,Peaceful protest,Chile,Tarapaca,Iquique,-20.2133,-70.1503,0
CHI8257,2022-01-31,Protests,Peaceful protest,Chile,Los Lagos,Osorno,-40.574,-73.1335,0
CHI8259,2022-02-01,Protests,Peaceful protest,Chile,Los Lagos,Osorno,-40.574,-73.1335,0
CHI8251,2022-01-28,Protests,Peaceful protest,Chile,Los Lagos,Osorno,-40.574,-73.1335,0
CHI8255,2022-01-31,Protests,Peaceful protest,Chile,Araucania,Cautin,-38.709,-73.167,0
CHI8250,2022-01-28,Protests,Peaceful protest,Chile,Coquimbo,Elqui,-29.9045,-71.2489,0
CHI8249,2022-01-28,Protests,Peaceful protest,Chile,Arica y Parinacota,Arica,-18.4746,-70.2979,0
CHI8260,2022-02-01,Protests,Peaceful protest,Chile,Tarapaca,Iquique,-20.2133,-70.1503,0
CHI8262,2022-01-31,Riots,Violent demonstration,Chile,Tarapaca,Iquique,-20.2133,-70.1503,0
CHI8252,2022-01-29,Protests,Peaceful protest,Chile,Antofagasta,Antofagasta,-23.6524,-70.3954,0
CHI8283,2022-02-10,Riots,Violent demonstration,Chile,Metropolitana,Santiago,-33.4546,-70.6823,0
CHI8284,2022-02-10,Riots,Violent demonstration,Chile,Metropolitana,Santiago,-33.4569,-70.6483,0
CHI8282,2022-02-07,Riots,Violent demonstration,Chile,Tarapaca,Iquique,-20.2133,-70.1503,0
CHI8290,2022-02-13,Protests,Peaceful protest,Chile,Coquimbo,Elqui,-29.9533,-71.3395,0
CHI8285,2022-02-12,Protests,Peaceful protest,Chile,Antofagasta,Antofagasta,-23.6524,-70.3954,0
CHI8293,2022-02-14,Protests,Peaceful protest,Chile,Coquimbo,Elqui,-29.9533,-71.3395,0
CHI8289,2022-02-12,Protests,Peaceful protest,Chile,Tarapaca,Tamarugal,-20.2558,-69.7863,0
CHI8301,2022-02-18,Protests,Peaceful protest,Chile,Metropolitana,Santiago,-33.4311,-70.6045,0
CHI8300,2022-02-15,Strategic developments,Looting/property destruction,Chile,Los Rios,Valdivia,-39.5364,-72.9657,0
CHI8296,2022-02-16,Protests,Peaceful protest,Chile,Aysen,Aysen,-45.4037,-72.6846,0
CHI8288,2022-02-12,Protests,Peaceful protest,Chile,Tarapaca,Iquique,-20.2133,-70.1503,0
CHI8298,2022-02-17,Protests,Peaceful protest,Chile,Biobio,Concepcion,-36.824,-72.6667,0
CHI8295,2022-02-14,Protests,Peaceful protest,Chile,Biobio,Concepcion,-36.827,-73.0498,0
CHI8305,2022-02-20,Violence against civilians,Attack,Chile,Araucania,Cautin,-38.709,-73.167,2
CHI8311,2022-02-21,Protests,Peaceful protest,Chile,Los Lagos,Osorno,-40.574,-73.1335,0
CHI8308,2022-02-19,Protests,Peaceful protest,Chile,Los Lagos,Llanquihue,-41.2607,-73.0069,0
CHI8314,2022-02-24,Protests,Peaceful protest,Chile,Valparaiso,Marga Marga,-33.0079,-71.2574,0
CHI8315,2022-02-24,Protests,Peaceful protest,Chile,Valparaiso,Marga Marga,-33.051,-71.3941,0
CHI8312,2022-02-21,Protests,Peaceful protest,Chile,Valparaiso,Valparaiso,-33.0246,-71.5518,0
CHI8306,2022-02-19,Strategic developments,Looting/property destruction,Chile,Los Rios,Valdivia,-39.5412,-72.8663,0
CHI8330,2022-03-04,Protests,Peaceful protest,Chile,Metropolitana,Santiago,-33.4569,-70.6483,0
CHI8323,2022-03-01,Strategic developments,Looting/property destruction,Chile,Metropolitana,Santiago,-33.4684,-70.5341,0
CHI8331,2022-03-04,Protests,Peaceful protest,Chile,Metropolitana,Santiago,-33.4311,-70.6045,0
CHI8327,2022-03-02,Protests,Peaceful protest,Chile,Los Lagos,Osorno,-40.574,-73.1335,0
CHI8316,2022-02-28,Riots,Violent demonstration,Chile,Coquimbo,Elqui,-29.9533,-71.3395,0
CHI8321,2022-02-28,Riots,Violent demonstration,Chile,Coquimbo,Elqui,-30.206,-71.2568,0
CHI8324,2022-03-02,Protests,Peaceful protest,Chile,Antofagasta,El Loa,-22.9111,-68.2011,0
CHI8322,2022-02-28,Protests,Peaceful protest,Chile,Valparaiso,Valparaiso,-33.036,-71.6296,0
CHI8333,2022-03-08,Strategic developments,Change to group/activity,Chile,Metropolitana,Santiago,-33.4569,-70.6483,0
CHI8349,2022-03-08,Protests,Peaceful protest,Chile,Antofagasta,Antofagasta,-23.6524,-70.3954,0
CHI8353,2022-03-08,Protests,Peaceful protest,Chile,Biobio,Concepcion,-36.827,-73.0498,0
CHI8358,2022-03-08,Protests,Peaceful protest,Chile,Los Lagos,Osorno,-40.574,-73.1335,0
CHI8343,2022-03-05,Protests,Peaceful protest,Chile,Metropolitana,Santiago,-33.3923,-70.5828,0
CHI8351,2022-03-08,Protests,Peaceful protest,Chile,Arica y Parinacota,Arica,-18.4746,-70.2979,0
CHI8362,2022-03-08,Riots,Violent demonstration,Chile,Metropolitana,Santiago,-33.4684,-70.5341,0
CHI8372,2022-03-11,Protests,Peaceful protest,Chile,Metropolitana,Santiago,-33.4569,-70.6483,0
CHI8367,2022-03-09,Protests,Peaceful protest,Chile,Los Lagos,Osorno,-40.574,-73.1335,0
CHI8354,2022-03-08,Protests,Peaceful protest,Chile,Coquimbo,Elqui,-29.9533,-71.3395,0
CHI8355,2022-03-08,Protests,Peaceful protest,Chile,Coquimbo,Elqui,-29.9045,-71.2489,0
CHI8366,2022-03-08,Protests,Peaceful protest,Chile,Valparaiso,Valparaiso,-33.0246,-71.5518,0
CHI8365,2022-03-08,Protests,Peaceful protest,Chile,Valparaiso,Valparaiso,-33.036,-71.6296,0
CHI8346,2022-03-07,Protests,Peaceful protest,Chile,Biobio,Concepcion,-36.8306,-73.1164,0
CHI8348,2022-03-07,Protests,Peaceful protest,Chile,Tarapaca,Iquique,-20.2133,-70.1503,0
CHI8364,2022-03-08,Protests,Peaceful protest,Chile,Tarapaca,Iquique,-20.2133,-70.1503,0
CHI8361,2022-03-08,Protests,Peaceful protest,Chile,Metropolitana,Santiago,-33.4546,-70.6823,0
CHI8229,2022-01-20,Protests,Protest with intervention,Chile,Metropolitana,Santiago,-33.4311,-70.6045,0
CHI8264,2022-02-01,Riots,Violent demonstration,Chile,Tarapaca,Iquique,-20.2133,-70.1503,0
CHI8388,2022-01-07,Protests,Peaceful protest,Chile,Los Lagos,Llanquihue,-41.7719,-73.1333,0
CHI8397,2022-03-17,Protests,Peaceful protest,Chile,Metropolitana,Santiago,-33.4569,-70.6483,0
CHI8398,2022-03-18,Protests,Peaceful protest,Chile,Metropolitana,Santiago,-33.4569,-70.6483,0
CHI8386,2022-03-17,Riots,Mob violence,Chile,Los Lagos,Osorno,-40.574,-73.1335,0
CHI8393,2022-03-15,Protests,Peaceful protest,Chile,Los Lagos,Llanquihue,-41.7363,-73.2657,0
CHI8392,2022-03-15,Protests,Peaceful protest,Chile,Antofagasta,Antofagasta,-23.6524,-70.3954,0
CHI8406,2022-03-21,Strategic developments,Looting/property destruction,Chile,Biobio,Arauco,-37.4762,-73.3412,0
CHI8426,2022-03-23,Protests,Peaceful protest,Chile,Metropolitana,Santiago,-33.4569,-70.6483,0
CHI8438,2022-03-18,Protests,Protest with intervention,Chile,Metropolitana,Santiago,-33.4569,-70.6483,0
CHI8420,2022-03-21,Protests,Peaceful protest,Chile,Tarapaca,Iquique,-20.2133,-70.1503,0
CHI8422,2022-03-22,Protests,Peaceful protest,Chile,Metropolitana,Santiago,-33.4569,-70.6483,0
CHI8408,2022-03-23,Riots,Mob violence,Chile,Araucania,Malleco,-38.2341,-72.3439,0
CHI8413,2022-03-19,Protests,Peaceful protest,Chile,Los Rios,Valdivia,-40.1496,-72.8989,0
CHI8442,2022-03-25,Riots,Violent demonstration,Chile,Coquimbo,Elqui,-29.9045,-71.2489,0
CHI8417,2022-03-21,Protests,Peaceful protest,Chile,Los Lagos,Llanquihue,-41.3954,-73.4615,0
CHI8418,2022-03-21,Protests,Peaceful protest,Chile,Los Lagos,Llanquihue,-41.6164,-73.5959,0
CHI8412,2022-03-19,Protests,Peaceful protest,Chile,Los Lagos,Llanquihue,-41.2607,-73.0069,0
CHI8414,2022-03-21,Protests,Peaceful protest,Chile,Aysen,Capitan Prat,-47.8035,-73.5376,0
CHI8415,2022-03-21,Protests,Peaceful protest,Chile,Los Lagos,Chiloe,-42.4801,-73.763,0
CHI8421,2022-03-21,Protests,Peaceful protest,Chile,Valparaiso,Valparaiso,-33.1137,-71.5637,0
CHI8427,2022-03-24,Protests,Peaceful protest,Chile,Biobio,Concepcion,-36.827,-73.0498,0
CHI8425,2022-03-23,Protests,Peaceful protest,Chile,Biobio,Concepcion,-36.7891,-73.1017,0
