date,keyword,value,country
2020-01-01,earthquake,0,CL
2020-01-02,earthquake,0,CL
2020-01-03,earthquake,0,CL
2020-01-04,earthquake,0,CL
2020-01-05,earthquake,0,CL
2020-01-06,earthquake,0,CL
2020-01-07,earthquake,0,CL
2020-01-08,earthquake,0,CL
2020-01-09,earthquake,0,CL
2020-01-10,earthquake,0,CL
2020-01-11,earthquake,0,CL
2020-01-12,earthquake,0,CL
2020-01-13,earthquake,15,CL
2020-01-14,earthquake,0,CL
2020-01-15,earthquake,0,CL
2020-01-16,earthquake,0,CL
2020-01-17,earthquake,0,CL
2020-01-18,earthquake,0,CL
2020-01-19,earthquake,0,CL
2020-01-20,earthquake,0,CL
2020-01-21,earthquake,0,CL
2020-01-22,earthquake,0,CL
2020-01-23,earthquake,0,CL
2020-01-24,earthquake,0,CL
2020-01-25,earthquake,0,CL
2020-01-26,earthquake,0,CL
2020-01-27,earthquake,0,CL
2020-01-28,earthquake,43,CL
2020-01-29,earthquake,22,CL
2020-01-30,earthquake,0,CL
2020-01-31,earthquake,0,CL
2020-02-01,earthquake,0,CL
2020-02-02,earthquake,20,CL
2020-02-03,earthquake,0,CL
2020-02-04,earthquake,18,CL
2020-02-05,earthquake,0,CL
2020-02-06,earthquake,0,CL
2020-02-07,earthquake,0,CL
2020-02-08,earthquake,0,CL
2020-02-09,earthquake,0,CL
2020-02-10,earthquake,0,CL
2020-02-11,earthquake,0,CL
2020-02-12,earthquake,0,CL
2020-02-13,earthquake,0,CL
2020-02-14,earthquake,0,CL
2020-02-15,earthquake,0,CL
2020-02-16,earthquake,0,CL
2020-02-17,earthquake,0,CL
2020-02-18,earthquake,0,CL
2020-02-19,earthquake,0,CL
2020-02-20,earthquake,0,CL
2020-02-21,earthquake,0,CL
2020-02-22,earthquake,0,CL
2020-02-23,earthquake,0,CL
2020-02-24,earthquake,0,CL
2020-02-25,earthquake,0,CL
2020-02-26,earthquake,0,CL
2020-02-27,earthquake,15,CL
2020-02-28,earthquake,0,CL
2020-02-29,earthquake,18,CL
2020-03-01,earthquake,0,CL
2020-03-02,earthquake,0,CL
2020-03-03,earthquake,0,CL
2020-03-04,earthquake,15,CL
2020-03-05,earthquake,0,CL
