globaleventid,sqldate,ingest_time,eventcode,eventbasecode,eventrootcode,quadclass,numentions,numsources,numarticles,avgtone,actiongeo_fullname,actiongeo_countrycode,actiongeo_adm1code,actiongeo_adm2code,actiongeo_lat,actiongeo_lon,actiongeo_featureid,dateadded,sourceurl
1161366475,20230304,20240303000000,120,120,12,3,40,2,20,-4.90677134445535,,,,,,,,20240303000000,https://www.elliotlakestandard.ca:443/news/local-news/you-need-to-be-held-accountable-sudbury-judge-tells-crook
1161366478,20230304,20240303000000,010,010,01,1,16,2,16,-4,"California, United States",US,USCA,,36.17,-119.746,CA,20240303000000,https://wach.com/news/nation-world/how-the-supply-chain-is-impacted-when-the-main-highway-between-california-nevada-closes-interstate-80-donner-summit-heavy-snow-severe-storm-weather-blizzard-conditions-commerce-corridor
1161366480,20240202,20240303000000,172,172,17,4,4,1,4,0.37406483790523,"Toronto, Ontario, Canada",CA,CA08,12686,43.6667,-79.4167,-574890,20240303000000,https://www.cbc.ca/news/canada/toronto/2024-international-women-s-day-toronto-1.7132212
1161366482,20240202,20240303000000,045,045,04,1,1,1,1,-3.83165065077241,"Gaza, Israel (general), Israel",IS,IS00,18315,31.4167,34.3333,-797156,20240303000000,https://wadk.com/world-news/3ffc9f232d5fdc0b9e7e2b76d6a9ed43
1161366484,20240202,20240303000000,120,120,12,3,1,1,1,-1.00125156445557,"Kennedy School, Massachusetts, United States",US,USMA,,42.3893,-71.1162,1972968,20240303000000,https://wfin.com/fox-political-news/manchin-appears-to-square-up-against-climate-protester-after-being-called-a-sick-f/
1161366493,20240225,20240303000000,172,172,17,4,6,1,6,-1.92837465564738,"Arkansas, United States",US,USAR,,34.9513,-92.3809,AR,20240303000000,https://health.wusf.usf.edu/health-news-florida/2024-03-02/desantis-vetoes-social-media-ban-for-kids-as-lawmakers-offer-a-new-option
1161366501,20240303,20240303000000,051,051,05,1,1,1,1,3.84615384615385,"Dubai, Dubayy, United Arab Emirates",AE,AE03,28575,25.2522,55.28,-782831,20240303000000,https://menafn.com/1107926286/Dubai-Up-To-75-Discounts-Worlds-Biggest-Book-Sale-Returns-With-2-Million-Books
1161366503,20240303,20240303000000,042,042,04,1,4,1,4,2.70967741935484,"Brisbane, Queensland, Australia",AS,AS04,154654,-27.5,153.017,-1561728,20240303000000,https://bigrigs.com.au/2024/03/03/fuelling-a-lifelong-passion/
1161366513,20240303,20240303000000,036,036,03,1,10,1,10,6.68896321070234,"Thimphu, Thimphu, Bhutan",BT,BT20,6071,27.4833,89.6,-2211419,20240303000000,https://indiatribune.com/india-to-continue-working-with-bhutan-on-its-development-agenda/
1161366518,20240303,20240303000000,042,042,04,1,10,1,10,-6.13026819923372,"Alabama, United States",US,USAL,,32.799,-86.8073,AL,20240303000000,https://www.wgauradio.com/news/trending/tanker-carrying-7500-gallons-gas-overturns-after-interstate-crash/6NRVSBPKF5FPXIVSHRQMM5KA5M/
