globaleventid,sqldate,ingest_time,eventcode,eventbasecode,eventrootcode,quadclass,numentions,numsources,numarticles,avgtone,actiongeo_fullname,actiongeo_countrycode,actiongeo_adm1code,actiongeo_adm2code,actiongeo_lat,actiongeo_lon,actiongeo_featureid,dateadded,sourceurl
1281948702,20160106,20260103000000,193,193,19,4,1,1,1,-4.1036717062635,"California, United States",US,USCA,,36.17,-119.746,CA,20260103000000,https://www.wfdd.org/law-enforcement/2026-01-02/fbi-says-it-disrupted-a-potential-new-years-eve-attack-inspired-by-islamic-state-group
1281948703,20160106,20260103000000,193,193,19,4,12,2,12,-5.32088202174595,"Florida, United States",US,USFL,,27.8333,-81.717,FL,20260103000000,https://www.thedailytimes.com/ap/national/fbi-says-it-disrupted-a-new-years-eve-attack-plan-inspired-by-islamic-state-group/article_8f8a98d8-31aa-593a-902b-61c8aca98dc5.html
1281948706,20250103,20260103000000,040,040,04,1,6,1,6,2.80811232449298,United States,US,US,,39.828175,-98.5795,US,20260103000000,https://www.usmagazine.com/stylish/news/natalie-portman-splashes-around-in-low-cut-swimsuit-at-st-barts-beach/
1281948707,20250103,20260103000000,042,042,04,1,4,2,4,-3.7147102526003,"Langley, Washington, United States",US,USWA,WA029,48.0401,-122.406,1512376,20260103000000,https://clearwatertimes.com/2026/01/02/bc-transit-sues-insolvent-aldergrove-bus-builder-over-leaky-buses/
1281948708,20250103,20260103000000,020,020,02,1,10,1,10,-3.46020761245675,"Vermont, United States",US,USVT,,44.0407,-72.7093,VT,20260103000000,https://vtdigger.org/2026/01/02/jerry-ward-and-john-bossange-hijacking-the-abundance-myth/
1281948709,20250103,20260103000000,110,110,11,3,5,1,5,-2.0497803806735,"Maryland, United States",US,USMD,,39.0724,-76.7902,MD,20260103000000,https://foxbaltimore.com/news/local/harford-county-residents-plead-help-high-winter-energy-bills-bge-maryland
1281948713,20250103,20260103000000,043,043,04,1,4,1,4,-0.64102564102564,"Kathmandu, Bagmati, Nepal",NP,NP01,22353,27.7167,85.3167,-1022136,20260103000000,https://www.dailyexcelsior.com/nepal-records-1-pc-growth-in-global-tourist-arrivals-in-2025-indian-tourists-decline-by-8-pc/
1281948717,20251204,20260103000000,010,010,01,1,2,1,2,-5.01672240802676,"Manipur, Uttar Pradesh, India",IN,IN36,70268,27.0529,79.3583,10452605,20260103000000,https://indianexpress.com/article/india/amit-shah-reviews-manipur-situation-with-governor-officials-10452545/
1281948721,20251204,20260103000000,0214,021,02,1,12,4,12,-3.27501456899657,"Minnesota, United States",US,USMN,,45.7326,-93.9196,MN,20260103000000,https://www.pilotonline.com/2026/01/02/child-care-fraud-minnesota-probe/
1281948722,20251204,20260103000000,115,115,11,3,10,1,10,-1.86046511627907,"Gallatin Canyon, Montana, United States",US,USMT,,45.4394,-111.232,783808,20260103000000,https://www.bozemandailychronicle.com/news/waterkeeper-sues-deq-over-lack-of-transparency-on-big-sky-pipeline-approval/article_d0237023-d57c-435d-808c-5bba1b296885.html
1281948723,20251227,20260103000000,012,012,01,1,4,2,4,-2.67597565341925,"Upper Hunter, New South Wales, Australia",AS,AS02,5096,-32,151,-1599678,20260103000000,https://www.singletonargus.com.au/story/9144527/mould-forces-closure-of-cancer-ward-at-calvary-mater-hospital/
1281948724,20251227,20260103000000,020,020,02,1,10,1,10,-3.67965367965368,,,,,,,,20260103000000,https://www.wsbtv.com/news/local/atlanta/metro-atlanta-doctors-see-surge-flu-cases-schools-prepare-resume/KPP6NIFURVAJ5CK6BWZIKC4QCE/
1281948729,20251227,20260103000000,0353,035,03,1,4,1,4,-7.57855822550831,"Larimer County, Colorado, United States",US,USCO,,40.6666,-105.467,198150,20260103000000,https://www.abc.net.au/news/2026-01-03/woman-killed-by-mountain-lion-in-colorado/106196130
1281948730,20251227,20260103000000,064,064,06,2,40,4,40,-2.09443092061411,"Minnesota, United States",US,USMN,,45.7326,-93.9196,MN,20260103000000,https://www.couriernews.com/news/national/minnesota-must-provide-documents-to-us-government-in-child-care-fraud-probe-by-next-week/article_6a9ad7ee-40d3-54f3-8ba4-73686ff7ffc9.html
1281948731,20260102,20260103000000,182,182,18,4,8,1,8,-7.85907859078591,"Ramallah, West Bank (general), West Bank",WE,WE00,68767,31.9026,35.1955,-795956,20260103000000,https://www.thedailystar.net/news/world/israels-attack-on-palestine/news/gaza-survivors-face-harsh-weather-tents-4071871
1281948734,20260103,20260103000000,051,051,05,1,5,1,5,-2.32300884955753,"Orestiada, Perifereia Anatolikis Makedonias kai Thrakis, Greece",GR,GR53,16676,41.5031,26.5297,-825008,20260103000000,https://greekreporter.com/2026/01/02/eu-greece-sugar-industry-collapse/
1281948735,20260103,20260103000000,020,020,02,1,4,1,4,-1.38376383763837,"Razorback, New South Wales, Australia",AS,AS02,5032,-28.4152,153.001,11366086,20260103000000,https://www.abc.net.au/news/2026-01-03/wagyu-angus-casualty-of-china-tariffs-on-australian-beef/106194112
1281948737,20260103,20260103000000,020,020,02,1,4,1,4,3.98671096345515,Australia,AS,AS,,-25,135,AS,20260103000000,https://98rockme.iheart.com/content/2026-01-02-smashing-pumpkins-join-yungblud-on-new-zombie-version/
1281948738,20260103,20260103000000,036,036,03,1,12,4,12,4.09228452107547,"Sydney, New South Wales, Australia",AS,AS02,154637,-33.8833,151.217,-1603135,20260103000000,https://www.nvi.com.au/story/9144703/from-graffiti-to-gallery-art-of-spray-paint-on-show/
1281948739,20260103,20260103000000,043,043,04,1,5,1,5,2.71317829457364,Australia,AS,AS,,-25,135,AS,20260103000000,https://www.chillifm.com.au/trending/entertainment/which-artists-are-touring-down-under-in-the-first-half-of-2026/
1281948740,20260103,20260103000000,173,173,17,4,4,1,4,-3.57142857142857,Australia,AS,AS,,-25,135,AS,20260103000000,https://www.abc.net.au/news/2026-01-03/red-sprites-storm-chaser-kimberley-sky/106192812
1281948741,20260103,20260103000000,036,036,03,1,10,1,10,2.41691842900302,"Dhaka, Dhaka, Bangladesh",BG,BG81,5778,23.7231,90.4086,-2737683,20260103000000,https://www.thedailystar.net/news/bangladesh/diplomacy/news/neighbourly-ties-will-improve-due-course-4071841
1281948742,20260103,20260103000000,042,042,04,1,7,1,7,2.0460358056266,"Thakurgaon, Rangpur, Bangladesh",BG,BG87,70295,26.0559,88.4336,10828770,20260103000000,https://www.thedailystar.net/news/bangladesh/politics/news/fakhruls-income-rose-tk-57700-7-years-4071781
1281948744,20260103,20260103000000,190,190,19,4,20,2,20,-7.02063740856844,"Rio Grande, Rio Grande do Sul, Brazil",BR,BR23,22379,-32.0333,-52.0833,-666679,20260103000000,https://www.singletonargus.com.au/story/9144717/eleven-dead-as-bus-crashes-head-on-into-truck-in-brazil/
1281948745,20260103,20260103000000,014,014,01,1,10,1,10,-3.06122448979592,"Vancouver, British Columbia, Canada",CA,CA02,12552,49.25,-123.133,-575268,20260103000000,https://panow.com/2026/01/02/cp-newsalert-air-india-pilot-arrested-last-week-at-vancouver-airport-before-flight/
1281948746,20260103,20260103000000,018,018,01,1,5,1,5,-0.43290043290043,,,,,,,,20260103000000,https://www.rttnews.com/3607462/sprinkles-cupcakes-shuts-all-locations-nationwide-ending-nearly-two-decade-run.aspx
1281948747,20260103,20260103000000,020,020,02,1,10,1,10,4.16012558869702,,,,,,,,20260103000000,https://tech.yahoo.com/home/article/where-engadgets-ces-2025-winners-194500664.html
1281948748,20260103,20260103000000,030,030,03,1,4,1,4,-1.72910662824207,"Emory University, Georgia, United States",US,USGA,,33.7914,-84.3235,325939,20260103000000,https://www.wsbtv.com/news/local/paid-lanes-returning-georgia-400-more-than-decade-after-tolls-removed/MN5MZM57QVB6BJOXC3CEMKBEXA/
1281948750,20260103,20260103000000,040,040,04,1,10,1,10,-1.75438596491228,,,,,,,,20260103000000,https://www.westcentralsbest.com/news/state/doing-better-business-bank-account-scams/article_a720dd7f-8ea3-51fc-b766-e0c82107a558.html
1281948751,20260103,20260103000000,043,043,04,1,5,1,5,-8.06845965770171,"Los Angeles, California, United States",US,USCA,,34.0522,-118.244,1662328,20260103000000,https://www.wape.com/news/will-smith-sued-by-former-tour-member-wrongful-termination-sexual-harassment/7JA7ON6FEI2B3JDSIJFW4T7X2Y/
1281948753,20260103,20260103000000,0874,087,08,2,3,1,3,-5.0925925925926,United States,US,US,,39.828175,-98.5795,US,20260103000000,https://www.sun-sentinel.com/2026/01/02/woman-who-posed-as-caregiver-exploited-blind-woman-elderly-with-dementia-records-say/
1281948754,20260103,20260103000000,015,015,01,1,4,1,4,-7.70101925254813,"Winnipeg, Manitoba, Canada",CA,CA03,12577,49.8833,-97.1667,-576096,20260103000000,https://www.winnipegfreepress.com/breakingnews/2026/01/02/killer-released-after-serving-two-thirds-of-sentence-back-in-federal-prison-charged-with-beating-elderly-couple
1281948755,20260103,20260103000000,036,036,03,1,2,1,2,2.42290748898678,"Brantford, Ontario, Canada",CA,CA08,12642,43.1333,-80.2667,-561588,20260103000000,https://www.stratfordbeaconherald.com:443/news/local-news/former-brantford-resident-named-to-the-order-of-canada
1281948757,20260103,20260103000000,042,042,04,1,5,1,5,-1.50891632373114,Canada,CA,CA,,60,-96,CA,20260103000000,https://www.orangeville.com/news/canada-us-travel-advisory-2026/article_c22c317e-fc7b-522f-9215-5bd6f236576d.html
1281948759,20260103,20260103000000,020,020,02,1,10,1,10,0.79365079365079,,,,,,,,20260103000000,https://www.thespec.com/news/hamilton-region/addiction-treatment-hub-aberdeen/article_f4e372aa-84a6-5c91-94c8-cfca7a2a7fd3.html
1281948761,20260103,20260103000000,020,020,02,1,5,1,5,-2.33050847457627,"Cincinnati, Ohio, United States",US,USOH,OH061,39.162,-84.4569,1066650,20260103000000,https://www.fox19.com/2026/01/02/promised-security-cameras-still-missing-after-11-year-old-killed-west-end-park/
1281948762,20260103,20260103000000,042,042,04,1,10,1,10,0.69444444444444,,,,,,,,20260103000000,https://www.shelf-awareness.com/readers/2026-01-02/diagnosis_detectives:_tummy_trouble.html
1281948764,20260103,20260103000000,043,043,04,1,90,8,80,-2.96517480572809,,,,,,,,20260103000000,https://www.keighleynews.co.uk/news/national/25736847.man-67-dies-pulled-sea-withernsea/
1281948765,20260103,20260103000000,046,046,04,1,2,1,2,-7.62942779291553,"Lawrenceville, Georgia, United States",US,USGA,GA135,33.9562,-83.988,316699,20260103000000,https://www.wrganews.com/2026/01/02/georgia-teen-charged-with-murdering-uber-driver-in-suburban-carjacking-leaving-him-to-die/
1281948767,20260103,20260103000000,0841,084,08,2,1,1,1,-3.5175879396985,"Utmanzai, Kandahar, Afghanistan",AF,AF23,99882,31.4017,65.6005,-3395674,20260103000000,https://www.pakistantoday.com.pk/2026/01/03/utmanzai-tribe-threatens-civil-disobedience-if-demands-not-fulfilled-by-jan-20/
