globaleventid,sqldate,ingest_time,eventcode,eventbasecode,eventrootcode,quadclass,numentions,numsources,numarticles,avgtone,actiongeo_fullname,actiongeo_countrycode,actiongeo_adm1code,actiongeo_adm2code,actiongeo_lat,actiongeo_lon,actiongeo_featureid,dateadded,sourceurl,url_normalized,title,meta_description,http_status,fetch_error
1281948702,20160106,20260103000000,193,193,19,4,1,1,1,-4.1036717062635,"California, United States",US,USCA,,36.17,-119.746,CA,20260103000000,https://www.wfdd.org/law-enforcement/2026-01-02/fbi-says-it-disrupted-a-potential-new-years-eve-attack-inspired-by-islamic-state-group,https://www.wfdd.org/law-enforcement/2026-01-02/fbi-says-it-disrupted-a-potential-new-years-eve-attack-inspired-by-islamic-state-group,FBI says it disrupted a New Year's Eve attack plan inspired by Islamic State group | 88.5 WFDD,"The FBI says it has disrupted a plot to attack a North Carolina grocery store on New Year's Eve, arresting a man who officials said was inspired by the Islamic State group and pledged his loyalty to the extremist militants.",200,
1281948707,20250103,20260103000000,042,042,04,1,4,2,4,-3.7147102526003,"Langley, Washington, United States",US,USWA,WA029,48.0401,-122.406,1512376,20260103000000,https://clearwatertimes.com/2026/01/02/bc-transit-sues-insolvent-aldergrove-bus-builder-over-leaky-buses/,https://clearwatertimes.com/2026/01/02/bc-transit-sues-insolvent-aldergrove-bus-builder-over-leaky-buses/,BC Transit sues insolvent Aldergrove bus builder over leaky buses | Clearwater Times,"Vicinity buses allegedly leaked, floors rotted in B.C. rains",200,
1281948708,20250103,20260103000000,020,020,02,1,10,1,10,-3.46020761245675,"Vermont, United States",US,USVT,,44.0407,-72.7093,VT,20260103000000,https://vtdigger.org/2026/01/02/jerry-ward-and-john-bossange-hijacking-the-abundance-myth/,https://vtdigger.org/2026/01/02/jerry-ward-and-john-bossange-hijacking-the-abundance-myth/,Jerry Ward and John Bossange: Hijacking the abundance myth - VTDigger,"Growth will inevitably continue in Vermont, but is growth something we want to promote or try to manage?",200,
1281948709,20250103,20260103000000,110,110,11,3,5,1,5,-2.0497803806735,"Maryland, United States",US,USMD,,39.0724,-76.7902,MD,20260103000000,https://foxbaltimore.com/news/local/harford-county-residents-plead-help-high-winter-energy-bills-bge-maryland,https://foxbaltimore.com/news/local/harford-county-residents-plead-help-high-winter-energy-bills-bge-maryland,'It's not okay:' Harford County residents plead for help amid high winter energy bills,"With the cold, blustery winter, BGE bills from December are now starting to roll in, leaving some Harford County residents feeling frustrated over high bills.",200,
1281948723,20251227,20260103000000,012,012,01,1,4,2,4,-2.67597565341925,"Upper Hunter, New South Wales, Australia",AS,AS02,5096,-32,151,-1599678,20260103000000,https://www.singletonargus.com.au/story/9144527/mould-forces-closure-of-cancer-ward-at-calvary-mater-hospital/,https://www.singletonargus.com.au/story/9144527/mould-forces-closure-of-cancer-ward-at-calvary-mater-hospital/,"Mould forces closure of cancer ward at Calvary Mater hospital | The Singleton Argus | Singleton, NSW","Calvary Mater Hospital closes cancer ward over Aspergillus mould risk, affecting patient care and prompting legal action.",200,
1281948734,20260103,20260103000000,051,051,05,1,5,1,5,-2.32300884955753,"Orestiada, Perifereia Anatolikis Makedonias kai Thrakis, Greece",GR,GR53,16676,41.5031,26.5297,-825008,20260103000000,https://greekreporter.com/2026/01/02/eu-greece-sugar-industry-collapse/,https://greekreporter.com/2026/01/02/eu-greece-sugar-industry-collapse/,How the EU Led Greece’s Sugar Industry to Collapse - GreekReporter.com,Greece's sugar industry was one of the most important agricultural / food processing sectors but has gone into decline in the past decades.,200,
1281948735,20260103,20260103000000,020,020,02,1,4,1,4,-1.38376383763837,"Razorback, New South Wales, Australia",AS,AS02,5032,-28.4152,153.001,11366086,20260103000000,https://www.abc.net.au/news/2026-01-03/wagyu-angus-casualty-of-china-tariffs-on-australian-beef/106194112,https://www.abc.net.au/news/2026-01-03/wagyu-angus-casualty-of-china-tariffs-on-australian-beef/106194112,Premium beef producers expect to be the main casualty of China's new 55 per cent tariff - ABC News,"Australian cattle farmers producing wagyu and Angus beef are likely to be among the hardest hit by China's 55 per cent tariff on exports exceeding a 205,000-tonne quota.",200,
1281948740,20260103,20260103000000,173,173,17,4,4,1,4,-3.57142857142857,Australia,AS,AS,,-25,135,AS,20260103000000,https://www.abc.net.au/news/2026-01-03/red-sprites-storm-chaser-kimberley-sky/106192812,https://www.abc.net.au/news/2026-01-03/red-sprites-storm-chaser-kimberley-sky/106192812,Storm chaser captures rare red sprites across Kimberley sky - ABC News,"A storm chaser says he ""screamed"" when he captured an elusive natural phenomenon, known as red sprites, on video.",200,
1281948741,20260103,20260103000000,036,036,03,1,10,1,10,2.41691842900302,"Dhaka, Dhaka, Bangladesh",BG,BG81,5778,23.7231,90.4086,-2737683,20260103000000,https://www.thedailystar.net/news/bangladesh/diplomacy/news/neighbourly-ties-will-improve-due-course-4071841,https://www.thedailystar.net/news/bangladesh/diplomacy/news/neighbourly-ties-will-improve-due-course-4071841,Neighbourly ties will improve in due course | The Daily Star,"Wishing Bangladesh well for the upcoming national election, Indian External Affairs Minister S Jaishankar yesterday said neighbourly ties in the region will improve in due course.",200,
1281948742,20260103,20260103000000,042,042,04,1,7,1,7,2.0460358056266,"Thakurgaon, Rangpur, Bangladesh",BG,BG87,70295,26.0559,88.4336,10828770,20260103000000,https://www.thedailystar.net/news/bangladesh/politics/news/fakhruls-income-rose-tk-57700-7-years-4071781,https://www.thedailystar.net/news/bangladesh/politics/news/fakhruls-income-rose-tk-57700-7-years-4071781,"Fakhrul’s income rose by Tk 57,700 in 7 years | The Daily Star","BNP Secretary General Mirza Fakhrul Islam Alamgir, who filed nomination papers for contesting the February 12 polls from the Thakurgaon-1 constituency, has reported a marginal increase of Tk 57,700 in his annual income over the past seven years.",200,
